Date	AUD
2018-05-11	-1.75280979415
2018-05-12	
2018-05-13	
2018-05-14	
2018-05-15	
2018-05-16	
2018-05-17	
2018-05-18	-0.137727264366
2018-05-19	-0.451681066
2018-05-20	-1.07337877064
2018-05-21	-1.30517726835
2018-05-22	-1.38304235685
2018-05-23	-1.23377480894
2018-05-24	-1.16660752709
2018-05-25	-1.6672492416
2018-05-26	-1.18957334169
2018-05-27	
2018-05-28	
2018-05-29	
2018-05-30	
2018-05-31	
2018-06-01	
2018-06-02	
2018-06-03	
2018-06-04	
2018-06-05	
2018-06-06	
2018-06-07	
2018-06-08	
2018-06-09	
2018-06-10	
2018-06-11	
2018-06-12	
2018-06-13	
2018-06-14	
2018-06-15	
2018-06-16	
2018-06-17	
2018-06-18	
2018-06-19	
2018-06-20	
2018-06-21	
2018-06-22	1.52777406007
2018-06-23	1.2442227451
2018-06-24	1.13438520698
2018-06-25	-0.52985843679
2018-06-26	-0.644516170621
2018-06-27	-0.65959440945
2018-06-28	-0.75644943862
2018-06-29	-2.14455040894
2018-06-30	-2.06325839905
2018-07-01	-2.1911670269
2018-07-02	-2.14167928073
2018-07-03	-2.27690646172
2018-07-04	-2.37749651703
2018-07-05	-2.26967276489
2018-07-06	-2.35418035602
2018-07-07	-2.30605248041
2018-07-08	-2.36736982493
2018-07-09	
2018-07-10	
2018-07-11	
2018-07-12	
2018-07-13	
2018-07-14	
2018-07-15	
2018-07-16	
2018-07-17	
2018-07-18	
2018-07-19	
2018-07-20	
2018-07-21	
2018-07-22	
2018-07-23	
2018-07-24	
2018-07-25	
2018-07-26	
2018-07-27	
2018-07-28	
2018-07-29	
2018-07-30	
2018-07-31	
2018-08-01	-0.289920829396
2018-08-02	-0.185382482198
2018-08-03	-0.162158464969
2018-08-04	-0.244945861329
2018-08-05	-0.444739817257
2018-08-06	-0.365773356223
2018-08-07	-0.267126504451
2018-08-08	-0.279981489261
2018-08-09	1.51637319039
2018-08-10	1.40931906744
2018-08-11	1.68666837784
2018-08-12	1.75023148873
2018-08-13	1.71175812692
2018-08-14	3.59892644629
2018-08-15	0.959824875535
2018-08-16	-1.87104901474
2018-08-17	-2.00947402311
2018-08-18	-2.24106581017
2018-08-19	-2.2793676945
2018-08-20	-2.38615926033
2018-08-21	-2.5986153603
2018-08-22	-2.83317047528
2018-08-23	-2.75052204886
2018-08-24	-2.65432295475
2018-08-25	-2.56964556653
2018-08-26	-2.50475311844
2018-08-27	-2.51264258656
2018-08-28	
2018-08-29	
2018-08-30	
2018-08-31	
2018-09-01	
2018-09-02	-0.293987878866
2018-09-03	-0.90425880792
2018-09-04	-0.765284264397
2018-09-05	-0.63041648913
2018-09-06	-0.551780004534
2018-09-07	-0.247002606502
2018-09-08	-0.432980804149
2018-09-09	0.653531340608
2018-09-10	2.56485373883
2018-09-11	2.51772673277
2018-09-12	2.50711101988
2018-09-13	2.35885649544
2018-09-14	2.12059953375
2018-09-15	1.99121231751
2018-09-16	
2018-09-17	
2018-09-18	
2018-09-19	0.90319855103
2018-09-20	0.796980744862
2018-09-21	0.0337660927889
2018-09-22	0.437394801564
2018-09-23	0.166499037924
2018-09-24	0.0905872288771
2018-09-25	0.120194815664
2018-09-26	-0.311788588204
2018-09-27	-0.321106681093
2018-09-28	0.190051914341
2018-09-29	0.948194138594
2018-09-30	1.55672400553
2018-10-01	1.91625755246
2018-10-02	1.94985585538
2018-10-03	3.53218011089
2018-10-04	3.40609123068
2018-10-05	3.30634111015
2018-10-06	2.82633171048
2018-10-07	2.88185945313
2018-10-08	
2018-10-09	
2018-10-10	
2018-10-11	
2018-10-12	
2018-10-13	
2018-10-14	
2018-10-15	
2018-10-16	
2018-10-17	
2018-10-18	0.101045251037
2018-10-19	0.182779386541
2018-10-20	0.294548780055
2018-10-21	0.47853362233
2018-10-22	0.426746210367
2018-10-23	0.490791228714
2018-10-24	1.34657572153
2018-10-25	2.43320480026
2018-10-26	2.38084003716
2018-10-27	2.29037840984
2018-10-28	3.44692494278
2018-10-29	3.47389110495
2018-10-30	3.43562065122
2018-10-31	3.9428249973
2018-11-01	4.55142191223
2018-11-02	4.39544354538
2018-11-03	4.3298607537
2018-11-04	3.21230966503
2018-11-05	3.13121080691
2018-11-06	3.14015790003
2018-11-07	
2018-11-08	
2018-11-09	
2018-11-10	
2018-11-11	
2018-11-12	-1.1080266867
2018-11-13	-1.11317854688
2018-11-14	-0.984512904039
2018-11-15	-1.02736363013
2018-11-16	-1.13636743786
2018-11-17	-1.10767610996
2018-11-18	-1.21118616648
2018-11-19	
2018-11-20	
2018-11-21	
2018-11-22	
2018-11-23	
2018-11-24	
2018-11-25	
2018-11-26	
2018-11-27	
2018-11-28	
2018-11-29	
2018-11-30	
2018-12-01	
2018-12-02	1.4853939003
