Date	Germany
2019-07-26	-1.6833491214
2019-07-27	-1.27047904478
2019-07-28	-1.27234246401
2019-07-29	0.143859585265
2019-07-30	0.241058417789
2019-07-31	2.05239645618
2019-08-01	1.83475206902
2019-08-02	1.28379774869
2019-08-03	0.927871595255
2019-08-04	0.845053843985
2019-08-05	0.347571246828
2019-08-06	0.60471101269
2019-08-07	0.78243422281
2019-08-08	0.943021791349
2019-08-09	
2019-08-10	
2019-08-11	
2019-08-12	
2019-08-13	
2019-08-14	2.69652241451
2019-08-15	2.66699592891
2019-08-16	2.4253412749
2019-08-17	2.13051793308
2019-08-18	1.42671540811
2019-08-19	1.84332896847
2019-08-20	1.4942200936
2019-08-21	
2019-08-22	
2019-08-23	
2019-08-24	
2019-08-25	
2019-08-26	
2019-08-27	
2019-08-28	-0.790696788919
2019-08-29	-0.922422816886
2019-08-30	-1.11114435761
2019-08-31	-1.48779574603
2019-09-01	-1.48779574603
2019-09-02	-1.51605256833
2019-09-03	-1.80734058495
2019-09-04	
2019-09-05	
2019-09-06	
2019-09-07	
2019-09-08	
2019-09-09	
2019-09-10	
2019-09-11	
2019-09-12	-0.0134727766147
2019-09-13	0.0721497063658
2019-09-14	-0.724131707051
2019-09-15	-0.851203226178
2019-09-16	-2.02780909467
2019-09-17	-2.1268224282
2019-09-18	-2.00857638375
2019-09-19	-2.98231219027
2019-09-20	-2.90243267041
2019-09-21	-1.71701116155
2019-09-22	-0.880372111544
2019-09-23	-0.866235805684
2019-09-24	-1.07769336692
2019-09-25	-1.39983953138
2019-09-26	-1.26994924605
2019-09-27	-0.915561775033
2019-09-28	-1.25830528712
2019-09-29	-1.40582147582
2019-09-30	-1.49464239831
2019-10-01	-1.48196582243
2019-10-02	
2019-10-03	
2019-10-04	
2019-10-05	
2019-10-06	
2019-10-07	
2019-10-08	
2019-10-09	
