Date	Japan
2019-08-21	
2019-08-22	
2019-08-23	
2019-08-24	
2019-08-25	
2019-08-26	-1.10940073973
2019-08-27	-1.22140930758
2019-08-28	-1.26333734221
2019-08-29	-2.24680931567
2019-08-30	-2.53802533188
2019-08-31	-2.68607409687
2019-09-01	-2.94795673245
2019-09-02	-3.84198045862
2019-09-03	-3.75466820136
2019-09-04	-3.81547292787
2019-09-05	1.9671317417
2019-09-06	1.99069949261
2019-09-07	1.9208846423
2019-09-08	2.16215835736
2019-09-09	2.15990355513
2019-09-10	0.28538707047
2019-09-11	0.220623850324
2019-09-12	-1.67116782029
2019-09-13	-1.70762686956
2019-09-14	-1.7237505582
2019-09-15	-1.86855003951
2019-09-16	-1.83381471794
2019-09-17	
2019-09-18	
2019-09-19	
2019-09-20	
2019-09-21	
2019-09-22	
2019-09-23	
2019-09-24	
2019-09-25	-1.89705230421
2019-09-26	-1.94705596673
2019-09-27	-1.89761720447
2019-09-28	-1.88288250186
2019-09-29	-1.71440361017
2019-09-30	-1.82408089059
2019-10-01	-1.91991563111
2019-10-02	1.14635891017
2019-10-03	1.35401317411
2019-10-04	1.36732280503
2019-10-05	1.54482920869
2019-10-06	1.58833208635
2019-10-07	0.9188893909
2019-10-08	0.966335637838
2019-10-09	-0.0587596391309
