Date	Energy
2019-04-06	0.0411661712516
2019-04-07	0.0380062688707
2019-04-08	0.159745024823
2019-04-09	0.155075635644
2019-04-10	0.141363553182
2019-04-11	0.133014970913
2019-04-12	0.0416737895181
2019-04-13	-0.00328786524381
2019-04-14	-0.226495803619
2019-04-15	-0.239304753294
2019-04-16	-0.243116045106
2019-04-17	-0.282351013742
2019-04-18	-0.191536067407
2019-04-19	-0.269689078341
2019-04-20	-0.248672505878
2019-04-21	-0.170384317432
2019-04-22	-0.142150785085
2019-04-23	-0.100397716366
2019-04-24	0.174775639213
2019-04-25	
2019-04-26	-0.358588871824
2019-04-27	-0.389467866057
2019-04-28	-0.350310463746
2019-04-29	-0.344545273531
2019-04-30	-0.346918857136
2019-05-01	-0.357324285426
2019-05-02	-0.256138416265
2019-05-03	-0.241720797349
2019-05-04	-0.235896962882
2019-05-05	-0.135075210331
2019-05-06	-0.155068515032
2019-05-07	-0.211345755238
2019-05-08	-0.211903629888
2019-05-09	-0.250840742176
2019-05-10	-0.206433115176
2019-05-11	-0.250070748113
2019-05-12	-0.263648308204
2019-05-13	-0.261063069757
2019-05-14	-0.213248049534
2019-05-15	-0.356620065474
2019-05-16	-0.388860225272
2019-05-17	-0.448291564719
2019-05-18	-0.380779345734
2019-05-19	-0.352734183602
2019-05-20	-0.566257423058
2019-05-21	-0.568060924948
2019-05-22	
2019-05-23	
2019-05-24	
2019-05-25	
2019-05-26	
2019-05-27	
2019-05-28	
2019-05-29	
2019-05-30	
2019-05-31	
2019-06-01	
2019-06-02	
2019-06-03	
2019-06-04	
2019-06-05	
2019-06-06	
2019-06-07	
2019-06-08	
2019-06-09	
2019-06-10	
2019-06-11	
2019-06-12	
2019-06-13	-0.383783253275
2019-06-14	-0.420098316983
2019-06-15	-0.458708921065
2019-06-16	-0.441346451677
2019-06-17	-0.457296987056
2019-06-18	-0.465971716047
2019-06-19	-0.459896820809
2019-06-20	-0.509945024997
2019-06-21	
2019-06-22	
2019-06-23	
2019-06-24	
2019-06-25	
2019-06-26	
2019-06-27	
2019-06-28	
2019-06-29	
2019-06-30	
2019-07-01	
2019-07-02	
2019-07-03	
2019-07-04	
2019-07-05	
2019-07-06	
2019-07-07	
2019-07-08	
2019-07-09	
2019-07-10	
2019-07-11	-0.210049812124
2019-07-12	-0.2045378151
2019-07-13	-0.215303180179
2019-07-14	-0.387531084941
2019-07-15	-0.291786875692
2019-07-16	-0.280491576492
2019-07-17	-0.305527055182
2019-07-18	-0.343496948799
2019-07-19	-0.315500018167
2019-07-20	-0.321615769971
2019-07-21	-0.107029796286
2019-07-22	
2019-07-23	
2019-07-24	
2019-07-25	
2019-07-26	0.130976068506
2019-07-27	0.126846042532
2019-07-28	0.112653211705
2019-07-29	0.0968989322176
2019-07-30	0.07997075168
2019-07-31	0.0799572448477
2019-08-01	0.0591430767442
2019-08-02	-0.369045164404
2019-08-03	-0.348653724843
2019-08-04	-0.364499272462
2019-08-05	-0.380103140594
2019-08-06	-0.40534488354
2019-08-07	-0.409382644775
2019-08-08	-0.387403165337
2019-08-09	
2019-08-10	
2019-08-11	
2019-08-12	-0.62763291302
2019-08-13	-0.58765301817
2019-08-14	-0.572547214048
2019-08-15	-0.611055697526
2019-08-16	-0.579705897526
2019-08-17	-0.551639061812
2019-08-18	-0.565225943985
2019-08-19	
2019-08-20	
2019-08-21	
2019-08-22	
2019-08-23	
2019-08-24	
2019-08-25	
2019-08-26	
2019-08-27	
2019-08-28	0.530865717729
2019-08-29	0.526523865195
2019-08-30	0.524358824556
2019-08-31	0.506845700929
2019-09-01	0.479205742325
2019-09-02	0.50682094257
2019-09-03	-0.0659557779385
2019-09-04	-0.129604652726
2019-09-05	-0.131177114067
2019-09-06	-0.0716131877143
2019-09-07	-0.0541423662858
2019-09-08	-0.0664699701819
2019-09-09	-0.0852502815372
2019-09-10	0.415369981406
2019-09-11	
2019-09-12	
2019-09-13	
2019-09-14	
2019-09-15	
2019-09-16	-0.347616834737
2019-09-17	-0.470110516902
2019-09-18	-0.448246515477
2019-09-19	-0.433834134525
2019-09-20	-0.4459290719
2019-09-21	-0.476902086186
2019-09-22	-0.467696752292
2019-09-23	-0.641348520534
2019-09-24	
2019-09-25	
2019-09-26	
2019-09-27	
2019-09-28	
2019-09-29	
2019-09-30	
2019-10-01	-0.176966578407
2019-10-02	-0.34151545708
2019-10-03	-0.372682732861
2019-10-04	-0.368121180031
2019-10-05	-0.336239735586
2019-10-06	-0.359817986153
2019-10-07	-0.353079475881
2019-10-08	-0.463139267223
2019-10-09	-0.385526688643
