Date	Materials
2019-01-31	-0.0515400004952
2019-02-01	-0.0352302302824
2019-02-02	-0.0159713101144
2019-02-03	-0.026138561815
2019-02-04	-0.0356610084674
2019-02-05	
2019-02-06	
2019-02-07	0.194855937353
2019-02-08	0.162143755235
2019-02-09	0.161008593581
2019-02-10	0.164581104057
2019-02-11	0.146350295842
2019-02-12	0.161405491745
2019-02-13	0.153127106031
2019-02-14	
2019-02-15	
2019-02-16	-0.0387053878171
2019-02-17	-0.0544986772049
2019-02-18	-0.068850338377
2019-02-19	-0.0789950652145
2019-02-20	-0.0619310385801
2019-02-21	-0.22590950186
2019-02-22	-0.207805847403
2019-02-23	-0.388483020419
2019-02-24	-0.36728039627
2019-02-25	-0.50450252539
2019-02-26	-0.377252591623
2019-02-27	-0.266911893676
2019-02-28	-0.292489270215
2019-03-01	-0.295629952789
2019-03-02	-0.28120652898
2019-03-03	-0.278264326599
2019-03-04	-0.119063396288
2019-03-05	-0.124141725782
2019-03-06	-0.348448743697
2019-03-07	
2019-03-08	
2019-03-09	
2019-03-10	
2019-03-11	
2019-03-12	
2019-03-13	-0.11948100609
2019-03-14	-0.0665069594971
2019-03-15	-0.0680228039969
2019-03-16	-0.0605634403605
2019-03-17	-0.0706686778889
2019-03-18	-0.0622360609028
2019-03-19	-0.144386030946
2019-03-20	-0.208967251754
2019-03-21	-0.252556447583
2019-03-22	-0.255613040635
2019-03-23	-0.3858620428
2019-03-24	-0.377468098922
2019-03-25	-0.366330321521
2019-03-26	-0.222311513607
2019-03-27	-0.267952132085
2019-03-28	-0.260614931235
2019-03-29	-0.258678842889
2019-03-30	-0.23032592514
2019-03-31	-0.218750595469
2019-04-01	-0.219932140315
2019-04-02	-0.317646995246
2019-04-03	-0.257549165144
2019-04-04	-0.0306248934994
2019-04-05	0.203626210397
2019-04-06	0.192009245029
2019-04-07	0.165649462977
2019-04-08	0.157850978988
2019-04-09	0.164608569492
2019-04-10	0.17543431439
2019-04-11	0.300227648199
2019-04-12	0.250576615732
2019-04-13	0.241604877636
2019-04-14	0.248476844303
2019-04-15	0.269968013274
2019-04-16	0.271409885858
2019-04-17	0.219564062876
2019-04-18	0.20113397349
2019-04-19	0.188831846506
2019-04-20	0.185084394125
2019-04-21	0.187868665553
2019-04-22	0.125879999858
2019-04-23	0.090231411877
2019-04-24	0.147481022954
2019-04-25	0.152357685535
2019-04-26	0.0978089516174
2019-04-27	0.103633713522
2019-04-28	0.115031372252
2019-04-29	
2019-04-30	
2019-05-01	
2019-05-02	0.0263651080526
2019-05-03	0.276416566357
2019-05-04	0.262429161596
2019-05-05	0.289690074294
2019-05-06	0.297707897508
2019-05-07	0.306362165365
2019-05-08	0.292324903402
2019-05-09	-0.131566773346
2019-05-10	-0.786322477891
2019-05-11	-0.413348168367
2019-05-12	-0.454760620748
2019-05-13	-0.460994304082
2019-05-14	-0.467386277296
2019-05-15	-0.387621428477
2019-05-16	-0.155267464192
2019-05-17	-0.123710642763
2019-05-18	-0.160523499906
2019-05-19	-0.135106618954
2019-05-20	-0.159610321335
2019-05-21	-0.173906293699
2019-05-22	-0.151737545578
2019-05-23	-0.117235292517
2019-05-24	-0.260908181406
2019-05-25	-0.213219881406
2019-05-26	-0.0758738337868
2019-05-27	-0.0660357052154
2019-05-28	-0.0516928480726
2019-05-29	-0.0231984105726
2019-05-30	-0.0307427288999
