Date	Information Technology
2018-12-24	-0.416194509968
2018-12-25	-0.414695657171
2018-12-26	-0.413631399106
2018-12-27	-0.435498220209
2018-12-28	-0.414521849516
2018-12-29	-0.416988714593
2018-12-30	0.00650970686848
2018-12-31	0.015885173221
2019-01-01	0.0150290570872
2019-01-02	0.0172297451651
2019-01-03	-0.391461805671
2019-01-04	-0.437518680666
2019-01-05	-0.440691080782
2019-01-06	-0.445459276271
2019-01-07	-0.447659186384
2019-01-08	-0.448901837134
2019-01-09	-0.450288338219
2019-01-10	-0.451917168842
2019-01-11	-0.452876515452
2019-01-12	-0.457021075338
2019-01-13	-0.463987903008
2019-01-14	-0.330834161943
2019-01-15	-0.329401485172
2019-01-16	-0.326344073557
2019-01-17	-0.327724389675
2019-01-18	-0.329517024424
2019-01-19	-0.334719828776
2019-01-20	-0.446791250462
2019-01-21	-0.445582860586
2019-01-22	-0.443742874132
2019-01-23	-0.441654170959
2019-01-24	-0.431463656939
2019-01-25	-0.342633070474
2019-01-26	-0.347919065418
2019-01-27	-0.350925958303
2019-01-28	-0.338907610425
2019-01-29	-0.392976100111
2019-01-30	-0.393842598969
2019-01-31	-0.388131570703
2019-02-01	-0.389364419336
2019-02-02	-0.317452638879
2019-02-03	-0.264307659775
2019-02-04	-0.26368578743
2019-02-05	-0.260462949133
2019-02-06	-0.259682816612
2019-02-07	-0.260872940878
2019-02-08	-0.261536197684
2019-02-09	-0.266993785439
2019-02-10	-0.269576338721
2019-02-11	-0.265461591546
2019-02-12	-0.262518130057
2019-02-13	-0.3759600831
2019-02-14	-0.371061876927
2019-02-15	-0.372875821818
2019-02-16	-0.3775483233
2019-02-17	-0.38289270476
2019-02-18	-0.381759225716
2019-02-19	-0.384094157753
2019-02-20	-0.383401573704
2019-02-21	-0.385242501982
2019-02-22	-0.387432251078
2019-02-23	-0.393161077969
2019-02-24	-0.496242646766
2019-02-25	-0.495160758539
2019-02-26	-0.498824232971
2019-02-27	-0.57784214526
2019-02-28	-0.415147616015
2019-03-01	-0.417081814538
2019-03-02	-0.419294837448
2019-03-03	-0.42291191601
2019-03-04	-0.418050995189
2019-03-05	-0.417244168879
2019-03-06	-0.419174703871
2019-03-07	-0.41985347209
2019-03-08	-0.417652450691
2019-03-09	-0.419877986583
2019-03-10	-0.423320363503
2019-03-11	-0.417792664419
2019-03-12	-0.413734346632
2019-03-13	-0.413779509711
2019-03-14	-0.411892272577
2019-03-15	-0.409881626212
2019-03-16	-0.414001707876
2019-03-17	-0.416879417381
2019-03-18	-0.414463442247
2019-03-19	-0.412015766964
2019-03-20	-0.411856732312
2019-03-21	-0.408793607597
2019-03-22	
2019-03-23	
2019-03-24	-0.232249525405
2019-03-25	-0.207715666093
2019-03-26	-0.200679747805
2019-03-27	-0.195972513089
2019-03-28	-0.188091137647
2019-03-29	-0.277244633963
2019-03-30	-0.275768157409
2019-03-31	-0.277845604891
2019-04-01	-0.275530994778
2019-04-02	-0.274504081553
2019-04-03	-0.217327518084
2019-04-04	-0.214617634975
2019-04-05	-0.212570026566
2019-04-06	-0.218303943734
2019-04-07	-0.222326543565
2019-04-08	-0.218926639979
2019-04-09	-0.216468563183
2019-04-10	-0.218238583455
2019-04-11	-0.220313568141
2019-04-12	-0.220425349045
2019-04-13	-0.224534092245
2019-04-14	-0.231404983226
2019-04-15	-0.228184176106
2019-04-16	-0.224619245265
2019-04-17	-0.218327028477
2019-04-18	-0.191825934014
2019-04-19	-0.191040610589
2019-04-20	-0.187843411044
2019-04-21	-0.188097607581
2019-04-22	-0.182206136771
2019-04-23	-0.178370441548
2019-04-24	-0.190310265229
2019-04-25	-0.190513260267
2019-04-26	-0.187958311543
2019-04-27	-0.183675667401
2019-04-28	-0.0468556277356
2019-04-29	-0.0429585886802
2019-04-30	-0.0384939685918
2019-05-01	-0.12082849147
2019-05-02	-0.117189100342
2019-05-03	-0.1716303122
2019-05-04	-0.172981201937
2019-05-05	-0.173652587443
2019-05-06	-0.163917581983
2019-05-07	-0.164360086484
2019-05-08	-0.16729144196
2019-05-09	-0.16429652096
2019-05-10	-0.156812609768
2019-05-11	-0.154882426627
2019-05-12	-0.157520133873
2019-05-13	-0.149658950122
2019-05-14	-0.141922568694
2019-05-15	-0.140167159455
2019-05-16	-0.137725369724
2019-05-17	-0.1400991326
2019-05-18	-0.247358644031
2019-05-19	-0.244879369568
2019-05-20	-0.241193373284
2019-05-21	-0.237927550629
2019-05-22	-0.237543208425
2019-05-23	-0.237181245668
2019-05-24	-0.235431754587
2019-05-25	-0.235867155825
2019-05-26	-0.241148330679
2019-05-27	-0.249521122161
2019-05-28	-0.257612528577
2019-05-29	-0.450164200342
2019-05-30	-0.452923325135
2019-05-31	-0.639376556556
2019-06-01	-0.638918577513
2019-06-02	-0.460087677439
2019-06-03	-0.46035468238
2019-06-04	-0.459095594243
2019-06-05	-0.459741726856
2019-06-06	-0.45616250117
2019-06-07	-0.451744998678
2019-06-08	-0.456963195634
2019-06-09	-0.463492411607
2019-06-10	-0.463919819693
2019-06-11	-0.459314514659
2019-06-12	-0.459229691901
2019-06-13	-0.458316314935
2019-06-14	-0.45664697219
2019-06-15	-0.452369667805
2019-06-16	-0.4490069075
2019-06-17	-0.453468643622
2019-06-18	-0.454728278592
2019-06-19	-0.463401026502
2019-06-20	-0.464713046707
2019-06-21	-0.463532959561
2019-06-22	-0.463866897377
2019-06-23	-0.465656079024
2019-06-24	-0.466260976993
2019-06-25	-0.465398860656
2019-06-26	-0.461085573807
2019-06-27	-0.459935141816
2019-06-28	-0.346190324208
2019-06-29	-0.341627183396
2019-06-30	-0.345858897544
2019-07-01	-0.346096396495
2019-07-02	-0.415040237198
2019-07-03	-0.409887348279
2019-07-04	-0.4109502836
2019-07-05	-0.408673970895
2019-07-06	-0.406021833063
2019-07-07	-0.409307433175
2019-07-08	-0.402468242167
2019-07-09	-0.401249088757
2019-07-10	-0.40199463666
