Date	SARB Hawkish-Dovish
2018-02-19	-0.00104925608922
2018-02-20	-0.000734592778964
2018-02-21	-0.00135035632576
2018-02-22	-0.0016224651693
2018-02-23	-0.00128394113409
2018-02-24	-0.00128394113409
2018-02-25	-0.000573209080077
2018-02-26	-0.000573209080077
2018-02-27	-0.000887872390335
2018-02-28	-0.000548428268793
2018-03-01	-0.000276319425256
2018-03-02	-0.000589602633276
2018-03-03	-0.000589602633276
2018-03-04	-0.000589602633276
2018-03-05	-0.000589602633276
2018-03-06	-0.00087531691899
2018-03-07	-0.000598997493734
2018-03-08	-0.000598997493734
2018-03-09	-0.000285714285714
2018-03-10	-0.000285714285714
2018-03-11	-0.000285714285714
2018-03-12	-0.000285714285714
2018-03-13	1.17713378727e-18
2018-03-14	1.17713378727e-18
2018-03-15	1.17713378727e-18
2018-03-16	-0.000315357931252
2018-03-17	-0.000315357931252
2018-03-18	-0.000315357931252
2018-03-19	-0.000315357931252
2018-03-20	-0.00146280486183
2018-03-21	-0.00146280486183
2018-03-22	-0.00146280486183
2018-03-23	-0.00155099818159
2018-03-24	-0.00155099818159
2018-03-25	-0.000865832028796
2018-03-26	-0.000865832028796
2018-03-27	0.000281614901783
2018-03-28	-0.000668233122533
2018-03-29	-0.00222525920272
2018-03-30	-0.00182170795171
2018-03-31	-0.00182170795171
2018-04-01	-0.0025068741045
2018-04-02	-0.00308759419742
2018-04-03	-0.00308759419742
2018-04-04	-0.0021377461731
2018-04-05	-0.000768196658345
2018-04-06	-0.000768196658345
2018-04-07	-0.000768196658345
2018-04-08	-0.000768196658345
2018-04-09	-0.000187476565429
2018-04-10	-0.000187476565429
2018-04-11	-0.000187476565429
2018-04-12	4.33680868994e-18
2018-04-13	6.19544098563e-19
2018-04-14	6.19544098563e-19
2018-04-15	6.19544098563e-19
2018-04-16	4.33680868994e-18
2018-04-17	4.33680868994e-18
2018-04-18	4.11996825544e-18
2018-04-19	4.11996825544e-18
2018-04-20	4.11996825544e-18
2018-04-21	4.11996825544e-18
2018-04-22	4.11996825544e-18
2018-04-23	4.11996825544e-18
2018-04-24	4.17417836407e-18
2018-04-25	0.000225326723749
2018-04-26	0.000225326723749
2018-04-27	0.000225326723749
2018-04-28	0.000225326723749
2018-04-29	-0.00022818801548
2018-04-30	-0.00022818801548
2018-05-01	-0.00022818801548
2018-05-02	-0.000453514739229
2018-05-03	-0.000453514739229
2018-05-04	-0.000453514739229
2018-05-05	-0.000453514739229
2018-05-06	4.20128341838e-18
2018-05-07	4.20128341838e-18
2018-05-08	4.20128341838e-18
2018-05-09	4.20128341838e-18
2018-05-10	6.81498508419e-19
2018-05-11	6.81498508419e-19
2018-05-12	6.81498508419e-19
2018-05-13	6.81498508419e-19
2018-05-14	6.81498508419e-19
2018-05-15	0.000212901852246
2018-05-16	0.000212901852246
2018-05-17	0.000212901852246
2018-05-18	0.000705512689685
2018-05-19	0.000705512689685
2018-05-20	0.000705512689685
2018-05-21	0.000941250549185
2018-05-22	0.000929555940399
2018-05-23	0.00132310178849
2018-05-24	0.00170609680956
2018-05-25	0.00271724537061
2018-05-26	0.00271724537061
2018-05-27	0.00271724537061
2018-05-28	0.00248150751111
2018-05-29	0.00272121737524
2018-05-30	0.00232767152714
2018-05-31	0.00236177765311
2018-06-01	0.000858018254612
2018-06-02	0.000858018254612
2018-06-03	0.000858018254612
2018-06-04	0.00108158185846
2018-06-05	0.000419180808459
2018-06-06	0.000851426323912
2018-06-07	0.000434325176884
2018-06-08	0.00211006878811
2018-06-09	0.00211006878811
2018-06-10	0.00211006878811
2018-06-11	0.00258336929576
2018-06-12	0.00301618037258
2018-06-13	0.00258393485713
2018-06-14	0.00258393485713
2018-06-15	0.00145870046693
2018-06-16	0.00145870046693
2018-06-17	0.00145870046693
2018-06-18	0.00127386912553
2018-06-19	0.00171784998588
2018-06-20	0.00171784998588
2018-06-21	0.00106354246135
2018-06-22	0.000759338659038
2018-06-23	0.000759338659038
2018-06-24	0.00159721046465
2018-06-25	0.000862311637055
2018-06-26	0.000207003642297
2018-06-27	0.000207003642297
2018-06-28	0.00107139520045
2018-06-29	0.000825089781728
2018-06-30	0.000825089781728
2018-07-01	-1.2782023886e-05
2018-07-02	0.000438655462185
2018-07-03	0.000438655462185
2018-07-04	0.000438655462185
2018-07-05	0.000696188917466
2018-07-06	0.000696188917466
2018-07-07	0.000696188917466
2018-07-08	0.000696188917466
2018-07-09	0.000467617488894
2018-07-10	0.000467617488894
2018-07-11	0.000467617488894
2018-07-12	0.000223214285714
2018-07-13	0.000483427660682
2018-07-14	0.000483427660682
2018-07-15	0.000483427660682
2018-07-16	0.000228325619865
2018-07-17	0.000228325619865
2018-07-18	0.00042896767444
2018-07-19	0.000651485503725
2018-07-20	-0.00034510489628
2018-07-21	4.41516237671e-05
2018-07-22	0.000471867620345
2018-07-23	0.00134718880526
2018-07-24	0.00134718880526
2018-07-25	0.00114654675068
